"category0_id","category1_id","category2_id","category3_id","category4_id","category5_id"
0,0,0,0,0,0
69,70,70,70,70,70
69,70,72,4,4,4
69,70,72,56,56,56
69,70,72,56,128,128
69,70,72,56,155,155
69,70,72,56,159,159
69,70,72,56,283,283
69,70,72,56,330,330
69,70,72,56,332,327
69,70,72,56,332,328
69,70,72,56,332,329
69,70,72,56,332,332
69,70,72,101,126,126
69,70,72,101,213,213
69,70,72,145,10,10
69,70,72,145,139,44
69,70,72,145,139,62
69,70,72,145,139,181
69,70,72,145,145,145
69,70,72,145,184,184
69,70,72,145,190,190
69,70,72,145,288,288
69,70,72,145,294,294
69,70,72,145,315,315
69,70,72,145,321,321
69,70,72,145,404,212
69,70,72,145,404,319
69,70,72,228,228,228
69,70,72,228,229,229
69,70,72,228,231,231
69,70,72,228,232,232
69,70,72,252,58,43
69,70,72,252,58,58
69,70,72,252,109,109
69,70,72,252,117,117
69,70,72,252,243,46
69,70,72,252,243,60
69,70,72,252,243,64
69,70,72,252,243,90
69,70,72,252,243,235
69,70,72,252,243,243
69,70,72,252,243,257
69,70,72,252,243,260
69,70,72,252,243,268
69,70,72,252,243,290
69,70,72,252,251,251
69,70,72,252,252,252
69,70,72,296,296,296
69,70,72,305,38,38
69,70,72,305,53,53
69,70,72,305,78,78
69,70,72,305,150,150
69,70,72,305,178,178
69,70,72,305,254,254
69,70,72,305,304,304
69,70,72,305,305,305
69,70,72,407,28,28
69,70,72,407,177,177
69,70,72,407,200,200
69,70,400,6,6,6
69,70,400,6,8,8
69,70,400,6,87,87
69,70,400,6,173,173
69,70,400,6,179,179
69,70,400,6,191,191
69,70,400,6,223,223
69,70,400,6,272,272
69,70,400,6,289,289
69,70,400,6,324,265
69,70,400,6,324,324
69,70,400,6,326,326
69,70,400,31,31,31
69,70,400,31,127,127
69,70,400,31,204,204
69,70,400,31,267,267
69,70,400,71,12,12
69,70,400,71,48,48
69,70,400,71,68,68
69,70,400,71,71,71
69,70,400,71,196,196
69,70,400,71,306,306
69,70,400,124,40,40
69,70,400,124,124,124
69,70,400,124,256,256
69,70,400,124,270,270
69,70,400,132,132,132
69,70,400,132,300,300
69,70,400,141,141,141
69,70,400,180,166,166
69,70,400,180,180,180
69,70,400,180,317,317
69,70,400,280,280,280
69,70,400,405,25,25
69,70,400,405,75,75
69,70,400,405,80,80
69,70,400,405,151,151
69,70,400,405,153,153
69,70,400,405,170,170
69,70,432,297,297,297
69,70,432,311,19,85
69,70,432,311,19,308
69,70,432,311,249,11
69,70,432,311,249,36
69,70,432,311,249,197
69,70,435,17,16,16
69,70,435,17,18,18
69,70,435,89,89,89
69,70,435,100,100,100
69,70,435,104,104,104
69,70,435,216,216,216
69,70,435,279,9,9
69,70,435,279,32,32
69,70,435,279,77,77
69,70,435,279,108,108
69,70,435,279,125,125
69,70,435,279,133,133
69,70,435,279,167,167
69,70,435,279,215,215
