"category0_id","category1_id","category2_id","category3_id","category4_id","category5_id"
156,156,186,45,45,45
156,156,186,66,66,66
156,156,186,103,103,103
157,81,81,81,81,81
221,221,221,221,221,221
298,158,67,84,84,84
298,158,67,261,261,261
298,158,67,271,271,271
298,158,67,401,105,105
298,158,67,401,160,160
298,158,158,158,158,158
298,158,274,55,55,55
298,158,274,91,91,91
298,158,274,102,102,102
298,158,274,135,135,135
298,158,274,164,164,163
298,158,274,164,164,164
298,158,274,206,206,206
298,158,274,234,234,234
298,158,274,240,240,240
298,158,274,263,263,263
298,158,274,274,274,274
298,158,274,312,312,312
298,158,274,320,320,320
298,189,291,313,143,143
298,440,440,39,39,39
298,440,440,113,47,47
298,440,440,113,113,113
298,440,440,113,113,114
298,440,440,113,113,198
298,440,440,113,113,307
298,440,440,113,182,182
298,440,440,113,199,199
298,440,440,113,208,208
298,440,440,113,258,258
298,440,440,113,287,287
298,440,440,113,314,314
298,440,440,189,94,94
298,440,440,189,189,189
298,440,440,189,285,285
298,440,440,201,7,7
298,440,440,201,96,96
298,440,440,201,171,171
298,440,440,201,201,201
298,440,440,201,202,202
298,440,440,201,203,203
298,440,440,201,275,275
298,440,440,201,286,286
298,440,440,236,236,236
298,440,440,282,282,282
298,440,440,282,331,331
298,440,440,291,291,291
298,440,440,303,303,303
298,440,440,313,195,195
298,440,440,313,301,301
298,440,440,313,313,313
298,440,440,313,333,333
309,309,309,309,309,309
437,437,437,148,148,148
437,437,437,148,148,149
