,cat_0,cat_1,cat_2,cat_3,cat_4,cat_5
215,,,,Baby Feeding,,
216,,,Household Supplies,,,
217,,,,Batteries,,
218,,,,Grill & Outdoor Kitchen,,
219,,,,Kitchenware (Consumable),,
220,,,,Odor Eliminator,,
221,,,,Pest Control & Insecticides,,
222,,,Personal Care,,,
223,,,,Bath Tissue & Paper Products,,
224,,,,Body Soap,,
225,,,,Deodorants & Antiperspirants,,
226,,,,Diapers & Wipes,,
227,,,,Eye Wear,,
228,,,,Feminine Hygiene Care,,
229,,,,First-Aid,,
230,,,,Hair Care,,
231,,,,Oral Care,,
232,,,,OTC Medication,,
233,,,,Shaving & Grooming,,
234,,,Professional Cleaning & Paper Supplies,,,
235,,,,Dish Soap,,
236,,,,Laundry Detergent,,
237,Private Label,,,,,
238,Energy,,,,,
239,,Renewable Energy Equipment,,,,
240,Financials,,,,,
241,,Financial Services & Crypto,,,,
242,,,Banking,,,
243,,,Crypto,,,
244,,,Investing (Non-Crypto),,,
245,,,Payments,,,
246,,Insurance,,,,
247,,,Auto Insurance,,,
248,,,Health Insurance,,,
249,,,Life Insurance,,,
250,,,Property Insurance,,,
251,,Real Estate,,,,
252,,,Real Estate Services,,,
253,,,Specialized REITs,,,
254,Health Care,,,,,
255,,Hospitals,,,,
256,,,Hospital Services,,,
257,Industrials,,,,,
258,,Air Freight & Logistics,,,,
259,,Auto Parts Distribution,,,,
260,,Manufacturing,,,,
261,,,Aerospace Manufacturing,,,
262,,,Auto Manufacturing,,,
263,,Materials,,,,
264,,,Building Materials,,,
265,,,Commodities,,,
266,,,Electronic Materials,,,
267,Information Technology,,,,,
268,,Communication Services,,,,
269,,,Dating,,,
270,,,Email & Messaging,,,
271,,,,Email,,
272,,,,Instant Messaging,,
273,,,Search Engine,,,
274,,,Social Media,,,
275,,Software & Services,,,,
276,,,Cash Back Rewards,,,
277,,,Developer Tools,,,
278,,,E-Learning,,,
279,,,Internet Services,,,
280,,,,Internet Browser,,
281,,,Navigation,,,
282,,,Photo & Video,,,
283,,,Productivity,,,
284,,,Security Software,,,
285,,,Video Conferencing,,,
286,,,Weather,,,
287,Media & Entertainment,,,,,
288,,Books,,,,
289,,Film & TV Entertainment,,,,
290,,,Cable Providers,,,
291,,,Film & TV Streaming,,,
292,,,Movies,,,
293,,,TV Shows,,,
294,,,Major Networks,,,
295,,,Movie Theaters,,,
296,,,News Services,,,
297,,,Satellite Providers,,,
298,,,Studios,,,
299,,,Video On Demand,,,
300,,Media,,,,
301,,,Digital Media,,,
302,,,Sports Media,,,
303,,Music,,,,
304,,,Artist Services,,,
305,,,Distributors,,,
306,,,Licensing,,,
307,,,Music Labels,,,
308,,,Music Streaming Platforms,,,
309,,,Song Funds,,,
310,,,Streaming Radio,,,
311,,Platforms and Microtransactions,,,,
312,,Sports,,,,
313,,,Professional Sports,,,
314,,Talent & Entertainment,,,,
315,,Traditional Media,,,,
316,,Video Games,,,,
317,,,Gaming Hardware,,,
318,,,Mobile and Online Gaming,,,
319,,,Traditional Developers and Publishers,,,
320,Utilities,,,,,
